city,country,title,url
,,Guild of Saint Luke,/en/artists-by-art-institution/guild-of-saint-luke
Antwerp,Belgium,Royal Academy of Fine Arts,/en/artists-by-art-institution/royal-academy-of-fine-arts-antwerp-belgium
Munich,Germany,Akademie der Bildenden Künste München (Munich Academy),/en/artists-by-art-institution/akademie-der
Milan,Italy,Accademia di Belle Arti di Brera (Brera Academy),/en/artists-by-art-institution/accademia-di-belle-arti-di-brera-brera-academy
Paris,France,Académie des Beaux-Arts,/en/artists-by-art-institution/acad-mie-des-beaux
Vienna,Austria,Akademie der Bildenden Künste Wien,/en/artists-by-art-institution/akademie-der-0
New York City,NY,National Academy Museum and School (National Academy of Design),/en/artists-by-art-institution/national-academy
Saint Petersburg,Russia,Imperial Academy of Arts,/en/artists-by-art-institution/imperial-academy-of-arts-saint-petersburg-russia
Düsseldorf,Germany,Kunstakademie Düsseldorf,/en/artists-by-art-institution/kunstakademie-dusseldorf-dusseldorf-germany
London,UK,Royal Academy of Arts (RA),/en/artists-by-art-institution/royal-academy-of
Sculpture and Architecture,Moscow,Moscow School of Painting,/en/artists-by-art-institution/moscow-school-of-painting-sculpture-and
Madrid,Spain,Real Academia de Bellas Artes de San Fernando,/en/artists-by-art-institution/real-academia-de
Melbourne,Victoria,National Gallery of Victoria Art School,/en/artists-by-art-institution/national-gallery-of-victoria-art-school-melbourne
Baltimore,MD,Maryland Institute College of Art (MICA),/en/artists-by-art-institution/maryland-institute-college-of-art-mica-baltimore
,,Self-taught,/en/artists-by-art-institution/self-taught
Brussels,Belgium,Académie Royale des Beaux-Arts (ARBA-ESA),/en/artists-by-art-institution/acad-mie-royale-des
Paris,France,Académie Colarossi,/en/artists-by-art-institution/acad-mie-colarossi
Paris,France,Académie de La Palette,/en/artists-by-art-institution/acad-mie-de-la
Paris,France,École des Beaux-Arts,/en/artists-by-art-institution/cole-des-beaux-arts
Dresden,Germany,Dresden Academy of Fine Arts,/en/artists-by-art-institution/dresden-academy-of-fine-arts-dresden-germany
Berlin,Germany,Akademie der Künste Berlin,/en/artists-by-art-institution/akademie-der-k-nste
Paris,France,Académie Julian,/en/artists-by-art-institution/acad-mie-julian
Copenhagen,Denmark,Royal Danish Academy of Fine Arts,/en/artists-by-art-institution/royal-danish-academy-of-fine-arts-copenhagen
Budapest,Hungary,Hungarian University of Fine Arts,/en/artists-by-art-institution/hungarian-university-of-fine-arts-budapest-hungary
Vienna,Austria,Universität für angewandte Kunst Wien (Kunstgewerbeschule),/en/artists-by-art-institution/kunstgewerbeschule
New York School of Art),New York City,Parsons School of Design (Chase School,/en/artists-by-art-institution/parsons-school-of-design-chase-school-new-york
Amsterdam,Netherlands,Rijksakademie van beeldende kunsten,/en/artists-by-art-institution/rijksakademie-van-beeldende-kunsten-amsterdam
London,UK,UCL Slade School of Fine Art (University College London),/en/artists-by-art-institution/ucl-slade-school-of-fine-art-university-college
Vilnius,Lithuania,Vilnius Academy of Arts,/en/artists-by-art-institution/vilnius-academy-of-arts
Krakow,Poland,Jan Matejko Academy of Fine Arts,/en/artists-by-art-institution/jan-matejko-academy-of-fine-arts-krakow-poland
New York City,NY,Art Students League of New York,/en/artists-by-art-institution/art-students-league
Philadelphia,PA,Pennsylvania Academy of the Fine Arts,/en/artists-by-art-institution/pennsylvania-academy
St. Petersburg,Russia,Zvantseva School of Drawing and Painting,/en/artists-by-art-institution/zvantseva-school-of
Glasgow,UK,Glasgow School of Art (GSA),/en/artists-by-art-institution/glasgow-school-of-art-gsa-glasgow-uk
Kyiv,Ukraine,Kyiv Art School,/en/artists-by-art-institution/kyiv-art-school-kyiv-ukraine
Prague,Czech Republic,Academy of Fine Arts (AVU),/en/artists-by-art-institution/academy-of-fine-arts-avu-prague-czech-republic
Karlsruhe,Germany,Academy of Fine Arts,/en/artists-by-art-institution/academy-of-fine-arts-karlsruhe-germany
