artistUrl,friends,influenced_by,influenced_on,institution,movements,school,type
/en/apelles,,/en/ancient-greek-painting,/en/ancient-greek-painting,,"Classical Period (480 - 323 BC),Hellenistic Period (323-31 BC)","/en/artists-by-painting-school/heptanese-ionian-school,/en/artists-by-painting-school/sicyonian-school",Artists
/en/wang-wei,,,,,Tang Dynasty (618–907),,Artists
/en/ancient-egyptian-painting,,,"/en/fayum-portrait,/en/ancient-greek-painting,/en/ancient-greek-pottery",,"Early Dynastic Period (3150 – 2686 BC),Old Kingdom (2686–2181 BC),1st Intermediate Period (2181–2055 BC),Middle Kingdom (2055–1650 BC),2nd Intermediate Period (1650–1550 BC),New Kingdom (1550–1069 BC),Amarna Period (1351 - 1334 BC),3rd Intermediate Period (1069–664 BC),Late Period (664–332 BC),Ptolemaic Period (332–30 BC)",,Collections
/en/guanxiu,,,,,"Tang Dynasty (618–907),Five Dynasties and Ten Kingdoms (907–960)",,Artists
/en/han-gan,,,,,Tang Dynasty (618–907),,Artists
/en/ancient-greek-pottery,,"/en/ancient-greek-painting,/en/ancient-egyptian-painting",/en/ancient-greek-painting,,"Geometric Period (c.900 - c.700 BC),Archaic Period (700-480 BC),Classical Period (480 - 323 BC),Hellenistic Period (323-31 BC)",,Collections
/en/li-tang,,,,,Northern Song Dynasty (960–1126),,Artists
/en/li-cheng,,,,,"Five Dynasties and Ten Kingdoms (907–960),Northern Song Dynasty (960–1126)",,Artists
/en/fayum-portrait,,"/en/ancient-greek-painting,/en/ancient-egyptian-painting","/en/orthodox-icons,/en/artists-by-art-movement/byzantine-art",,"Roman Period (30 BC - 640 AD),Coptic art",,Collections
/en/alberto-sotio,,,,,Romanesque Art,/en/artists-by-painting-school/spoleto-school,Artists
/en/toros-roslin,,,,,Medieval Art,,Artists
/en/qian-xuan,,,,,Yuan Dynasty (1271–1368),,Artists
/en/ma-yuan,,,,,Southern Song Dynasty (1127–1279),/en/artists-by-painting-school/ma-xia-school,Artists
/en/duccio,,,"/en/ambrogio-lorenzetti,/en/pietro-lorenzetti",,Proto Renaissance,/en/artists-by-painting-school/sienese-school,Artists
/en/guan-daosheng,,,,,Yuan Dynasty (1271–1368),,Artists
/en/guo-xi,,,,,Northern Song Dynasty (960–1126),,Artists
/en/emperor-huizong,,,,,Northern Song Dynasty (960–1126),,Artists
/en/cimabue,,,,,Proto Renaissance,/en/artists-by-painting-school/florentine-school,Artists
