title,url
Flemish School,/en/artists-by-painting-school/flemish-school
Sienese School,/en/artists-by-painting-school/sienese-school
Umbrian school,/en/artists-by-painting-school/umbrian-school
Florentine School,/en/artists-by-painting-school/florentine-school
Parma school,/en/artists-by-painting-school/parma-school
German School,/en/artists-by-painting-school/german-school
Ferrara School,/en/artists-by-painting-school/ferrara-school
Dutch School,/en/artists-by-painting-school/dutch-school
Valencian school,/en/artists-by-painting-school/valencian-school
Lombard School,/en/artists-by-painting-school/lombard-school
Tuscan school,/en/artists-by-painting-school/tuscan-school
Kanō school,/en/artists-by-painting-school/kano-school
Upper Rhine School,/en/artists-by-painting-school/upper-rhine-school
Antwerp School,/en/artists-by-painting-school/antwerp-school
Vienna Secession,/en/artists-by-painting-school/vienna-secession
Bolognese School,/en/artists-by-painting-school/bolognese-school
Düsseldorf School of Painting,/en/artists-by-painting-school/d-sseldorf-school-of-painting
Spoleto School,/en/artists-by-painting-school/spoleto-school
Ma-Xia School,/en/artists-by-painting-school/ma-xia-school
Cimmerian Art School,/en/artists-by-painting-school/cimmerian-art-school
Pre-Raphaelite Brotherhood,/en/artists-by-painting-school/pre-raphaelite-brotherhood
Cretan School,/en/artists-by-painting-school/cretan-school
Four fathers of Chinese painting,/en/artists-by-painting-school/four-fathers-of-chinese-painting
Szolnok Artist's Colony,/en/artists-by-painting-school/szolnok-artists-colony
Clique,/en/artists-by-painting-school/clique
Peredvizhniki (Society for Traveling Art Exhibitions),/en/artists-by-painting-school/peredvizhniki-society-for-traveling-art-exhibitions
Seville School,/en/artists-by-painting-school/seville-school
Tile Club,/en/artists-by-painting-school/tile-club
Société Japonaise du Jinglar,/en/artists-by-painting-school/societe-japonaise-du-jinglar
New English Art Club,/en/artists-by-painting-school/new-english-art-club
Macchiaioli,/en/artists-by-painting-school/macchiaioli
Munich School (Σχολή του Μονάχου),/en/artists-by-painting-school/munich-school
Kraków School,/en/artists-by-painting-school/krak-w-school
Munich Secession,/en/artists-by-painting-school/munich-secession
Birmingham School,/en/artists-by-painting-school/birmingham-school
Anseremme Art Colony,/en/artists-by-painting-school/anseremme-art-colony
Société des Artistes Indépendants (Society of Independent Artists),/en/artists-by-painting-school/soci-t-des-artistes-ind-pendants-society-of-independent-artists
Scapigliatura,/en/artists-by-painting-school/scapigliatura
Painters of the Sacred Heart,/en/artists-by-painting-school/painters-of-the-sacred-heart
